species_binomial,japanese_names,region_bucket,same_block_moreyra_anchors,new_tree_samples_needed
Cirsium akimontanum,ゲイホクアザミ,CHUGOKU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium bosopeninsulae,カズサヤマアザミ,KANTO,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium furusei,ウラジロカガノアザミ,CHUBU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium gratiosum,ホウキアザミ,REVIEW_DISTRIBUTION,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium hasunumae,フタマタアザミ,TOHOKU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium horiianum,オガアザミ,TOHOKU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium kagamontanum,カガノアザミ,CHUBU|KINKI,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium longepedunculatum,ナガエノアザミ,CHUBU|KINKI,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium myokoense,ミョウコウアザミ,CHUBU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium nagatoense,ナガトアザミ,CHUGOKU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium nagisoense,ナギソアザミ,CHUBU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium nasuense,シモツケアザミ,KANTO,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium shinanomontanum,ミヤマホソエノアザミ,CHUBU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium spinuliferum,ハリカガノアザミ,CHUBU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium tenuipedunculatum,ホソエノアザミ,KANTO|CHUBU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium wakasugianum,エチゼンヒメアザミ,CHUBU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
Cirsium yuzawae,イワキヒメアザミ,TOHOKU,JPN_08:Cirsium fuagataense | JPN_11:Cirsium ishidzuchiense | JPN_13:Cirsium kasaianum | JPN_14:Cirsium kiotoense | JPN_28:Cirsium uzenense,2
