priority,species_binomial,japanese_names,nmns_taxonomic_block,moreyra_jpns,nmns_distribution_source,own_sample_sector_rule,sector_design,new_tree_samples_needed,public_locality_audit_gate,locality_freeze_gate,claim_boundary
P6,Cirsium magofukui,イナベアザミ,ナンブアザミ節イナベアザミ亜節,JPN_16,三重県，岐阜県，滋賀県,Moreyra public accessionのlocalityを照合後、NMNS documented range内でその既存個体から最大限離れる確認済み野生集団を1つ選ぶ,MAXIMIZE_COMPLEMENT_TO_PUBLIC_ACCESSION_AFTER_LOCALITY_AUDIT,1,REQUIRED_BEFORE_FINAL_SECTOR_FREEZE,CURRENT_OCCURRENCE_PLUS_PERMISSION_REQUIRED,one own trait-linked complement to adequate public singleton; exact locality not yet frozen
P6,Cirsium fuagataense,リクゼンアザミ,ナンブアザミ節カガノアザミ亜節,JPN_08,宮城県(中部),Moreyra public accessionのlocalityを照合後、NMNS documented range内でその既存個体から最大限離れる確認済み野生集団を1つ選ぶ,MAXIMIZE_COMPLEMENT_TO_PUBLIC_ACCESSION_AFTER_LOCALITY_AUDIT,1,REQUIRED_BEFORE_FINAL_SECTOR_FREEZE,CURRENT_OCCURRENCE_PLUS_PERMISSION_REQUIRED,one own trait-linked complement to adequate public singleton; exact locality not yet frozen
P6,Cirsium ishidzuchiense,イシヅチアザミ,ナンブアザミ節カガノアザミ亜節,JPN_11,四国全土,Moreyra public accessionのlocalityを照合後、NMNS documented range内でその既存個体から最大限離れる確認済み野生集団を1つ選ぶ,MAXIMIZE_COMPLEMENT_TO_PUBLIC_ACCESSION_AFTER_LOCALITY_AUDIT,1,REQUIRED_BEFORE_FINAL_SECTOR_FREEZE,CURRENT_OCCURRENCE_PLUS_PERMISSION_REQUIRED,one own trait-linked complement to adequate public singleton; exact locality not yet frozen
P6,Cirsium kasaianum,ナトリアザミ,ナンブアザミ節カガノアザミ亜節,JPN_13,宮城県(名取市，丸森町),Moreyra public accessionのlocalityを照合後、NMNS documented range内でその既存個体から最大限離れる確認済み野生集団を1つ選ぶ,MAXIMIZE_COMPLEMENT_TO_PUBLIC_ACCESSION_AFTER_LOCALITY_AUDIT,1,REQUIRED_BEFORE_FINAL_SECTOR_FREEZE,CURRENT_OCCURRENCE_PLUS_PERMISSION_REQUIRED,one own trait-linked complement to adequate public singleton; exact locality not yet frozen
P6,Cirsium kiotoense,オハラメアザミ,ナンブアザミ節カガノアザミ亜節,JPN_14,本州日本海側地域(北陸地方～近畿地方北部),Moreyra public accessionのlocalityを照合後、NMNS documented range内でその既存個体から最大限離れる確認済み野生集団を1つ選ぶ,MAXIMIZE_COMPLEMENT_TO_PUBLIC_ACCESSION_AFTER_LOCALITY_AUDIT,1,REQUIRED_BEFORE_FINAL_SECTOR_FREEZE,CURRENT_OCCURRENCE_PLUS_PERMISSION_REQUIRED,one own trait-linked complement to adequate public singleton; exact locality not yet frozen
P6,Cirsium uzenense,ウゼンアザミ,ナンブアザミ節カガノアザミ亜節,JPN_28,山形県，新潟県,Moreyra public accessionのlocalityを照合後、NMNS documented range内でその既存個体から最大限離れる確認済み野生集団を1つ選ぶ,MAXIMIZE_COMPLEMENT_TO_PUBLIC_ACCESSION_AFTER_LOCALITY_AUDIT,1,REQUIRED_BEFORE_FINAL_SECTOR_FREEZE,CURRENT_OCCURRENCE_PLUS_PERMISSION_REQUIRED,one own trait-linked complement to adequate public singleton; exact locality not yet frozen
P6,Cirsium pseudosuffltum,ニセツクシアザミ,ナンブアザミ節サワアザミ亜節,JPN_24,四国山地(徳島県，高知県，愛媛県),Moreyra public accessionのlocalityを照合後、NMNS documented range内でその既存個体から最大限離れる確認済み野生集団を1つ選ぶ,MAXIMIZE_COMPLEMENT_TO_PUBLIC_ACCESSION_AFTER_LOCALITY_AUDIT,1,REQUIRED_BEFORE_FINAL_SECTOR_FREEZE,CURRENT_OCCURRENCE_PLUS_PERMISSION_REQUIRED,one own trait-linked complement to adequate public singleton; exact locality not yet frozen
P6,Cirsium yezoense,サワアザミ,ナンブアザミ節サワアザミ亜節,JPN_30,北海道～本州(福井県)，日本海側の山地に多いが東京都にも分布している．,Moreyra public accessionのlocalityを照合後、NMNS documented range内でその既存個体から最大限離れる確認済み野生集団を1つ選ぶ,MAXIMIZE_COMPLEMENT_TO_PUBLIC_ACCESSION_AFTER_LOCALITY_AUDIT,1,REQUIRED_BEFORE_FINAL_SECTOR_FREEZE,CURRENT_OCCURRENCE_PLUS_PERMISSION_REQUIRED,one own trait-linked complement to adequate public singleton; exact locality not yet frozen
P6,Cirsium amplexifolium,ダキバヒメアザミ,ナンブアザミ節ダキバヒメアザミ亜節ダキバヒメアザミ列,JPN_04,本州(青森県～新潟県),Moreyra public accessionのlocalityを照合後、NMNS documented range内でその既存個体から最大限離れる確認済み野生集団を1つ選ぶ,MAXIMIZE_COMPLEMENT_TO_PUBLIC_ACCESSION_AFTER_LOCALITY_AUDIT,1,REQUIRED_BEFORE_FINAL_SECTOR_FREEZE,CURRENT_OCCURRENCE_PLUS_PERMISSION_REQUIRED,one own trait-linked complement to adequate public singleton; exact locality not yet frozen
P6,Cirsium domonii,リョウウアザミ,ナンブアザミ節ダキバヒメアザミ亜節リシリアザミ列,JPN_07,秋田県，山形県,Moreyra public accessionのlocalityを照合後、NMNS documented range内でその既存個体から最大限離れる確認済み野生集団を1つ選ぶ,MAXIMIZE_COMPLEMENT_TO_PUBLIC_ACCESSION_AFTER_LOCALITY_AUDIT,1,REQUIRED_BEFORE_FINAL_SECTOR_FREEZE,CURRENT_OCCURRENCE_PLUS_PERMISSION_REQUIRED,one own trait-linked complement to adequate public singleton; exact locality not yet frozen
