component,nominal_taxa,individuals_per_taxon_or_rule,nominal_individuals,sequencing_role,status
T1_BASE_ALL_SPECIES,120,2,240,target_capture_wave_1,PLANNING_BASELINE
T2_WIDESPREAD_OR_VARIABLE,30,+1,30,target_capture_wave_2,PREREGISTERED_ENRICHMENT_CAP
T3_COMPLEX,10,+2,20,target_capture_wave_2,PREREGISTERED_ENRICHMENT_CAP
NATIONWIDE_TARGET_CAPTURE_FULL,120,base_plus_enrichment,290,nationwide_species_tree_network,PRIMARY_PRODUCT
NATIONWIDE_UPPER_ENVELOPE,125,base_plus_same_50_enrichment,300,nationwide_species_tree_network,BUDGET_ENVELOPE
RAD_SIEBOLDII,1,4_populations_x12,48,population_rad,NESTED_LEVEL_3
RAD_DIPSACOLEPIS,1,3_populations_x12,36,population_rad,NESTED_LEVEL_3
RAD_LINEARE,1,3_populations_x12,36,population_rad,NESTED_LEVEL_3
RAD_BREVICAULE,1,2_populations_x12,24,population_rad,NESTED_LEVEL_3
RAD_IRUMTIENSE,1,2_populations_x12,24,population_rad,NESTED_LEVEL_3
RAD_FOCAL_TOTAL,5,14_populations,168,population_rad,NESTED_LEVEL_3
TREE_RAD_OVERLAP,5,up_to_4_per_focal_species,20,same_individual_reuse,DO_NOT_DOUBLE_COUNT
FULL_UNIQUE_PHYSICAL_NOMINAL,120,nationwide_290_plus_rad_168_minus_overlap_20,438,field_bank,PLANNING_TOTAL_NOT_PUBLICATION_REQUIREMENT
