planned_slot,taxon_concept,source_taxon_name,population_slot,individual_within_population,minimum_core,collection_status,authorization_status,immutable_individual_id,population_id,deidentified_locality_id,voucher_id,rad_tissue_id,stickiness_state,gland_exudate_doc,orientation_state,phyllary_posture,cytotype_status,genome_size_status,notes
J06-P1-01,JPN06,Cirsium dipsacolepis,P1,1,yes,planned,required,,,,,,,,,,,,
J06-P1-02,JPN06,Cirsium dipsacolepis,P1,2,yes,planned,required,,,,,,,,,,,,
J06-P1-03,JPN06,Cirsium dipsacolepis,P1,3,yes,planned,required,,,,,,,,,,,,
J06-P1-04,JPN06,Cirsium dipsacolepis,P1,4,yes,planned,required,,,,,,,,,,,,
J06-P1-05,JPN06,Cirsium dipsacolepis,P1,5,yes,planned,required,,,,,,,,,,,,
J06-P1-06,JPN06,Cirsium dipsacolepis,P1,6,yes,planned,required,,,,,,,,,,,,
J06-P1-07,JPN06,Cirsium dipsacolepis,P1,7,yes,planned,required,,,,,,,,,,,,
J06-P1-08,JPN06,Cirsium dipsacolepis,P1,8,yes,planned,required,,,,,,,,,,,,
J06-P2-01,JPN06,Cirsium dipsacolepis,P2,1,yes,planned,required,,,,,,,,,,,,
J06-P2-02,JPN06,Cirsium dipsacolepis,P2,2,yes,planned,required,,,,,,,,,,,,
J06-P2-03,JPN06,Cirsium dipsacolepis,P2,3,yes,planned,required,,,,,,,,,,,,
J06-P2-04,JPN06,Cirsium dipsacolepis,P2,4,yes,planned,required,,,,,,,,,,,,
J06-P2-05,JPN06,Cirsium dipsacolepis,P2,5,yes,planned,required,,,,,,,,,,,,
J06-P2-06,JPN06,Cirsium dipsacolepis,P2,6,yes,planned,required,,,,,,,,,,,,
J06-P2-07,JPN06,Cirsium dipsacolepis,P2,7,yes,planned,required,,,,,,,,,,,,
J06-P2-08,JPN06,Cirsium dipsacolepis,P2,8,yes,planned,required,,,,,,,,,,,,
J06-P3-01,JPN06,Cirsium dipsacolepis,P3,1,no,planned,required,,,,,,,,,,,,
J06-P3-02,JPN06,Cirsium dipsacolepis,P3,2,no,planned,required,,,,,,,,,,,,
J06-P3-03,JPN06,Cirsium dipsacolepis,P3,3,no,planned,required,,,,,,,,,,,,
J06-P3-04,JPN06,Cirsium dipsacolepis,P3,4,no,planned,required,,,,,,,,,,,,
J06-P3-05,JPN06,Cirsium dipsacolepis,P3,5,no,planned,required,,,,,,,,,,,,
J06-P3-06,JPN06,Cirsium dipsacolepis,P3,6,no,planned,required,,,,,,,,,,,,
J06-P3-07,JPN06,Cirsium dipsacolepis,P3,7,no,planned,required,,,,,,,,,,,,
J06-P3-08,JPN06,Cirsium dipsacolepis,P3,8,no,planned,required,,,,,,,,,,,,
J15-P1-01,JPN15,Cirsium lineare,P1,1,yes,planned,required,,,,,,,,,,,,
J15-P1-02,JPN15,Cirsium lineare,P1,2,yes,planned,required,,,,,,,,,,,,
J15-P1-03,JPN15,Cirsium lineare,P1,3,yes,planned,required,,,,,,,,,,,,
J15-P1-04,JPN15,Cirsium lineare,P1,4,yes,planned,required,,,,,,,,,,,,
J15-P1-05,JPN15,Cirsium lineare,P1,5,yes,planned,required,,,,,,,,,,,,
J15-P1-06,JPN15,Cirsium lineare,P1,6,yes,planned,required,,,,,,,,,,,,
J15-P1-07,JPN15,Cirsium lineare,P1,7,yes,planned,required,,,,,,,,,,,,
J15-P1-08,JPN15,Cirsium lineare,P1,8,yes,planned,required,,,,,,,,,,,,
J15-P2-01,JPN15,Cirsium lineare,P2,1,yes,planned,required,,,,,,,,,,,,
J15-P2-02,JPN15,Cirsium lineare,P2,2,yes,planned,required,,,,,,,,,,,,
J15-P2-03,JPN15,Cirsium lineare,P2,3,yes,planned,required,,,,,,,,,,,,
J15-P2-04,JPN15,Cirsium lineare,P2,4,yes,planned,required,,,,,,,,,,,,
J15-P2-05,JPN15,Cirsium lineare,P2,5,yes,planned,required,,,,,,,,,,,,
J15-P2-06,JPN15,Cirsium lineare,P2,6,yes,planned,required,,,,,,,,,,,,
J15-P2-07,JPN15,Cirsium lineare,P2,7,yes,planned,required,,,,,,,,,,,,
J15-P2-08,JPN15,Cirsium lineare,P2,8,yes,planned,required,,,,,,,,,,,,
J15-P3-01,JPN15,Cirsium lineare,P3,1,no,planned,required,,,,,,,,,,,,
J15-P3-02,JPN15,Cirsium lineare,P3,2,no,planned,required,,,,,,,,,,,,
J15-P3-03,JPN15,Cirsium lineare,P3,3,no,planned,required,,,,,,,,,,,,
J15-P3-04,JPN15,Cirsium lineare,P3,4,no,planned,required,,,,,,,,,,,,
J15-P3-05,JPN15,Cirsium lineare,P3,5,no,planned,required,,,,,,,,,,,,
J15-P3-06,JPN15,Cirsium lineare,P3,6,no,planned,required,,,,,,,,,,,,
J15-P3-07,JPN15,Cirsium lineare,P3,7,no,planned,required,,,,,,,,,,,,
J15-P3-08,JPN15,Cirsium lineare,P3,8,no,planned,required,,,,,,,,,,,,
