slot_id,species_binomial,range_sector,protection_or_management_basis,land_manager_or_authority_route,collection_permission_status,tissue_permission_status,permission_source,freeze_status,next_action
P1_Cirsium_apoense_A,Cirsium apoense,アポイ岳蛇紋岩地の確認済み野生集団,日高山脈襟裳十勝国立公園等の重複規制区域になり得る,北海道地方環境事務所新ひだか自然保護官事務所＋必要に応じ北海道道有林・保護区所管,PENDING,PENDING,https://www.apoi-geopark.jp/other/national_park.html,PERMISSION_IN_PROGRESS,候補地点の公園地種区分・道有林・保護区重複を確認して必要許可を特定
P1_Cirsium_apoense_B,Cirsium apoense,アポイ岳周辺の別蛇紋岩地集団。別集団不可なら空間分離個体,日高山脈襟裳十勝国立公園等の重複規制区域になり得る,北海道地方環境事務所新ひだか自然保護官事務所＋必要に応じ北海道道有林・保護区所管,PENDING,PENDING,https://www.apoi-geopark.jp/other/national_park.html,PERMISSION_IN_PROGRESS,独立第2集団を確認後に規制区域と管理者を確定
P1_Cirsium_yezoalpinum_A,Cirsium yezoalpinum,知床山系の確認済み野生集団,知床国立公園指定植物・特別地域等の規制対象になり得る,環境省釧路自然環境事務所／知床自然保護官事務所ルート,PENDING,PENDING,https://www.env.go.jp/nature/np/plant_prot/ | https://www.env.go.jp/park/shiretoko/intro/index.html,PERMISSION_IN_PROGRESS,候補locality IDごとに地種区分を照合し指定植物採取許可の要否を確定
P1_Cirsium_yezoalpinum_B,Cirsium yezoalpinum,大雪山系の確認済み野生集団,大雪山国立公園指定植物・特別地域等の規制対象になり得る,環境省北海道地方環境事務所／大雪山自然保護官事務所ルート,PENDING,PENDING,https://www.env.go.jp/nature/np/plant_prot/ | https://www.env.go.jp/park/daisetsu/intro/index.html,PERMISSION_IN_PROGRESS,候補locality IDごとに令和7年指定植物リストと地種区分を照合
P1_Cirsium_chokaiense_A,Cirsium chokaiense,鳥海山・秋田県側の確認済み野生集団,鳥海山生物群集保護林内を含む可能性,林野庁東北森林管理局・由利森林管理署を第一照会先,PENDING,PENDING,https://www.rinya.maff.go.jp/tohoku/sidou/hogorin/choukai.html,PERMISSION_IN_PROGRESS,秋田側候補地点の国有林・保護林区分と学術採取手続きを確認
P1_Cirsium_chokaiense_B,Cirsium chokaiense,鳥海山・山形県側の確認済み野生集団,鳥海山生物群集保護林内を含む可能性,林野庁東北森林管理局・庄内森林管理署を第一照会先,PENDING,PENDING,https://www.rinya.maff.go.jp/tohoku/sidou/hogorin/choukai.html,PERMISSION_IN_PROGRESS,山形側候補地点の国有林・保護林区分と学術採取手続きを確認
P1_Cirsium_hachimantaiense_A,Cirsium hachimantaiense,八幡平・岩手県側の確認済み野生集団,十和田八幡平国立公園指定植物・特別地域／特別保護地区規制,環境省東北地方環境事務所の八幡平担当自然保護官事務所ルート,PENDING,PENDING,https://www.env.go.jp/nature/np/plant_prot/ | https://www.env.go.jp/park/towada/intro/index.html,PERMISSION_IN_PROGRESS,岩手側候補地点の地種区分を区域図で確認して採取許可申請要否を確定
P1_Cirsium_hachimantaiense_B,Cirsium hachimantaiense,八幡平・秋田県側の確認済み野生集団,十和田八幡平国立公園指定植物・特別地域／特別保護地区規制,環境省東北地方環境事務所の八幡平担当自然保護官事務所ルート,PENDING,PENDING,https://www.env.go.jp/nature/np/plant_prot/ | https://www.env.go.jp/park/towada/intro/index.html,PERMISSION_IN_PROGRESS,秋田側候補地点の地種区分を区域図で確認して採取許可申請要否を確定
P1_Cirsium_ganjuense_A,Cirsium ganjuense,岩手県・早池峰山の確認済み野生集団,早池峰国定公園・天然記念物等の強い採取規制,岩手県自然保護課／県南広域振興局等の早池峰保全担当を第一照会先,PENDING,PENDING,https://www.pref.iwate.jp/kennan/hoken/1065388/1065389/1013504.html,PERMISSION_IN_PROGRESS,学術目的の組織採取について必要な自然公園法・文化財等手続を事前照会
P1_Cirsium_ganjuense_B,Cirsium ganjuense,岩手県・岩手山の確認済み野生集団,十和田八幡平国立公園指定植物リストに掲載,環境省東北地方環境事務所の岩手山・八幡平担当自然保護官事務所ルート,PENDING,PENDING,https://www.env.go.jp/nature/np/plant_prot/ | https://www.env.go.jp/content/000164482.pdf,PERMISSION_IN_PROGRESS,岩手山候補地点の地種区分と指定植物採取許可要否を確定
